"","ID","Pub","CRN","informative","biased","credible","false","trustworthy","pol_leaning","familiar_Fox","familiar_Atlantic","familiar_CNN","familiar_SacBee","truthful_Fox","truthful_Atlantic","truthful_CNN","truthful_SacBee","trust_Fox","trust_Atlantic","trust_CNN","trust_SacBee","Pub_familiar","fam_rate","pol_rate","CRN_vs_NoCRN","Mixed_vs_Pol","treatment","pol_knowledge"
"1",1,"CNN","c1",5,1,5,1,5,"Republican","Yes","No","Yes","No","No","Don't know","No","Don't know","A lot","","Barely","","Yes","High","Liberal",-0.666666666666667,-0.5,0,"high"
"2",1,"FoxNews","c3",5,5,3,3,3,"Republican","Yes","No","Yes","No","No","Don't know","No","Don't know","A lot","","Barely","","Yes","High","Conservative",0.333333333333333,0,1,"high"
"3",1,"Atlantic","c1",5,1,3,3,3,"Republican","Yes","No","Yes","No","No","Don't know","No","Don't know","A lot","","Barely","","No","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"4",1,"SacBee","c2",5,1,4,3,5,"Republican","Yes","No","Yes","No","No","Don't know","No","Don't know","A lot","","Barely","","No","Low","Neutral/Local",0.333333333333333,0.5,1,"high"
"5",2,"CNN","c2",5,1,5,1,5,"Independent","Yes","Yes","Yes","No","No","Yes","Yes","Don't know","Not at all","A lot","A lot","","Yes","High","Liberal",0.333333333333333,0.5,1,"high"
"6",2,"FoxNews","c1",1,5,1,5,1,"Independent","Yes","Yes","Yes","No","No","Yes","Yes","Don't know","Not at all","A lot","A lot","","Yes","High","Conservative",-0.666666666666667,-0.5,0,"high"
"7",2,"Atlantic","c3",5,1,3,3,3,"Independent","Yes","Yes","Yes","No","No","Yes","Yes","Don't know","Not at all","A lot","A lot","","Yes","Medium","Liberal",0.333333333333333,0,1,"high"
"8",2,"SacBee","c1",5,1,5,1,5,"Independent","Yes","Yes","Yes","No","No","Yes","Yes","Don't know","Not at all","A lot","A lot","","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"9",3,"CNN","c3",5,1,5,1,5,"Republican","Yes","No","Yes","No","Don't know","Don't know","No","Don't know","Not at all","Not at all","Not at all","Not at all","Yes","High","Liberal",0.333333333333333,0,1,"high"
"10",3,"FoxNews","c1",5,4,3,3,3,"Republican","Yes","No","Yes","No","Don't know","Don't know","No","Don't know","Not at all","Not at all","Not at all","Not at all","Yes","High","Conservative",-0.666666666666667,-0.5,0,"high"
"11",3,"Atlantic","c1",4,3,3,3,3,"Republican","Yes","No","Yes","No","Don't know","Don't know","No","Don't know","Not at all","Not at all","Not at all","Not at all","No","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"12",3,"SacBee","c2",4,3,3,3,4,"Republican","Yes","No","Yes","No","Don't know","Don't know","No","Don't know","Not at all","Not at all","Not at all","Not at all","No","Low","Neutral/Local",0.333333333333333,0.5,1,"high"
"13",4,"CNN","c1",5,3,4,2,4,"Republican","Yes","Yes","Yes","Yes","No","Don't know","No","Yes","Barely","Somewhat","Barely","A lot","Yes","High","Liberal",-0.666666666666667,-0.5,0,"high"
"14",4,"FoxNews","c2",4,4,3,3,3,"Republican","Yes","Yes","Yes","Yes","No","Don't know","No","Yes","Barely","Somewhat","Barely","A lot","Yes","High","Conservative",0.333333333333333,0.5,1,"high"
"15",4,"Atlantic","c3",5,3,4,2,3,"Republican","Yes","Yes","Yes","Yes","No","Don't know","No","Yes","Barely","Somewhat","Barely","A lot","Yes","Medium","Liberal",0.333333333333333,0,1,"high"
"16",4,"SacBee","c1",4,3,4,3,3,"Republican","Yes","Yes","Yes","Yes","No","Don't know","No","Yes","Barely","Somewhat","Barely","A lot","Yes","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"17",5,"CNN","c3",2,5,1,3,2,"Independent","Yes","Yes","Yes","No","No","No","No","No","","Not at all","Not at all","Not at all","Yes","High","Liberal",0.333333333333333,0,1,"low"
"18",5,"FoxNews","c2",3,5,2,4,2,"Independent","Yes","Yes","Yes","No","No","No","No","No","","Not at all","Not at all","Not at all","Yes","High","Conservative",0.333333333333333,0.5,1,"low"
"19",5,"Atlantic","c1",2,4,2,3,1,"Independent","Yes","Yes","Yes","No","No","No","No","No","","Not at all","Not at all","Not at all","Yes","Medium","Liberal",-0.666666666666667,-0.5,0,"low"
"20",5,"SacBee","c1",2,4,2,3,1,"Independent","Yes","Yes","Yes","No","No","No","No","No","","Not at all","Not at all","Not at all","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"low"
"21",6,"CNN","c2",4,3,3,3,3,"Independent","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","","","","","Yes","High","Liberal",0.333333333333333,0.5,1,"high"
"22",6,"FoxNews","c1",4,3,4,2,3,"Independent","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","","","","","Yes","High","Conservative",-0.666666666666667,-0.5,0,"high"
"23",6,"Atlantic","c1",2,3,4,3,3,"Independent","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","","","","","Yes","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"24",6,"SacBee","c3",4,3,4,3,3,"Independent","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","","","","","Yes","Low","Neutral/Local",0.333333333333333,0,1,"high"
"25",7,"CNN","c3",5,4,5,5,5,"Republican","No","Yes","Yes","No","No","No","Yes","No","Entirely","Somewhat","Entirely","Entirely","Yes","High","Liberal",0.333333333333333,0,1,"high"
