ID,Text_sp,Text,Source,clickbait_score,pol_score,Image_Url,Cat1_HQ,Cat2_HQ_Pol,Cat,CatPol
2261,ny gov cuomo pardons immigrants risk deportation takes swipe trump,NY Gov. Cuomo Pardons Immigrants at Risk of Deportation Takes Swipe at Trump,2019 Year Ahead,1.1538511535236675e-09,20349831847670.098,'background-image: url('http://images.taboola.com/taboola/image/fetch/f_jpg%2Cq_auto%2Ch_189%2Cw_340%2Cc_fill%2Cg_faces:auto%2Ce_sharpen/http%3A//insider.foxnews.com/sites/insider.foxnews.com/files/styles/780/public/010219_crenshaw.jpg%3Fitok%3D1V5Q_-_8');',0,1,0,1
758,barack obama disbelief daughters comment trump,Barack Obama in Disbelief over His Daughter's Comment About Trump,DailySovereign,1162.0212284282254,51992698731.080666,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15410935441563026398.png&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,0,1
731,racial profiling versus criminal profiling difference,Racial Profiling Versus Criminal Profiling: Is There a Difference?,In Public Safety,0.00027917759087142126,542809629.8542712,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjQ1ZGJhZjAyNzBjM2E3ZmYyNGUzYTMwMTI3OTNjNjRjYjYxM2E3NWYwNGI3ZDc2NTJmNGE4MzM4YzMzMDQ1ZjEiLCJ3Ijo0MDAsImgiOjI0MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,0,1,0,1
1651,add name support senator kamala harris,Add your name to support Senator Kamala Harris,Kamala Harris,0.0441575216020444,3451438.301236322,https://images.outbrainimg.com/transform/v3/eyJpdSI6ImVhMDVjOTYyMjg1NDA3MTllZTFiNDdiNDZhNTcwYzFhNWEzZmJiZDIwYWRkMjQyMmE4ZDQwMmIwZjc1Zjk4NDMiLCJ3Ijo0MDAsImgiOjI0MCwiZCI6MS41LCJjcyI6MCwiZiI6Mn0.webp,0,1,0,1
1713,kamala harris taking fight white house support her…,Kamala Harris Is Taking The Fight To The White House. Will You Support Her…,Paid for by Kamala Harris,1.422132890305778,1739803.5035473881,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjU0Y2UxNjUwMDIyZTYyZGUxY2RlMWI5MTBhMjAwMTE0ZWNmZDIxNmZiMWJhOGVkZGQ4OWZkMDdhZTM1MGNiNDAiLCJ3IjozOTAsImgiOjM0MCwiZCI6MS41LCJjcyI6MCwiZiI6NH0.webp,0,1,0,1
763,trumps tax change affected me,How Has Trump's Tax Change Affected Me?,Personal Capital - investment management - personal fund - online money manager - private wealth management - online financial advisor,0.009741337864210371,97750.94008117334,https://images.outbrainimg.com/transform/v3/eyJpdSI6IjkwNTk2OThkM2E0MjU3YzhjZGU4OTFiMTVjZGI1MTAyZDllZTU3YjEzMGM4NGUyZGUxOGY4Mzk0OGYyNzE5ODEiLCJ3IjozOTAsImgiOjM0MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.webp,0,1,0,1
499,man predicted meltdown surprises new predictions,Man Who Predicted the 2008 Meltdown Surprises with New Predictions,Unrestricted Investing,96.95831517212092,90447.58953946242,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/583e351276d2244cf078ec90f76ae448.png&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,0,1
2302,trump obama,Trump Just Did What Obama Couldn't Do,Lifetime Income Report,1.693744819955506,47764.943554285834,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15481043821508834788.jpg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,0,1
362,busted democrats caught disturbing scandal video leak,Busted! Democrats Caught In The Most Disturbing Scandal (Video Leak),HSI Online,0.07292385112644466,39052.49416097159,'background-image: url('//img.revcontent.com/?url=https://revcontent-p0.s3.amazonaws.com/content/images/15332201091451812745.jpg&static=true&pos=face&h=315&w=420&static=true&fmt=jpeg'); height: 172px;',0,0,0,1
515,vietnam war photographs withheld public,30 Vietnam War Photographs That Were Withheld From The Public,Auto Overload,16587.29736854829,33813.48652853107,https://images.outbrainimg.com/transform/v3/eyJpdSI6ImY4N2JiOTA2MWNmMTY0NTczN2VhMzIxYWI4OWJmYmZlMzkzMDQ5ZTEzN2ViY2I2N2I0N2UzMGVkMGMyNDFjYzkiLCJ3IjozNjAsImgiOjI0MCwiZCI6MS41LCJjcyI6MCwiZiI6MH0.jpg,0,0,0,1
